,Hotel_Address,lat,lng,City,Country,lat_updated,lon_updated
0, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,52.3605759,4.9159683,Amsterdam,Nederland,52.3730796,4.8924534
1,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,51.4918878,-0.1949706,London,United Kingdom,51.4893335,-0.144055085
2,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,51.5137335,-0.1087512,City of London,United Kingdom,51.5156177,-0.0919983
3,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,51.5142184,-0.1809032,London,United Kingdom,51.4893335,-0.144055085
4,1 3 Rue d Argentine 16th arr 75116 Paris France,48.8743481,2.2897334,Paris,France,48.8534951,2.3483915
5,1 5 Passage Ruelle 18th arr 75018 Paris France,48.88657,2.3588332,Paris,France,48.8534951,2.3483915
6,1 8 Russell Square Camden London WC1B 5BE United Kingdom,51.5226217,-0.1251602,London,United Kingdom,51.4893335,-0.144055085
7,1 Addington Street Lambeth London SE1 7RY United Kingdom,51.5014001,-0.1160092,London,United Kingdom,51.4893335,-0.144055085
8,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,51.5117832,-0.1194172,London,United Kingdom,51.4893335,-0.144055085
9,1 Avenue Carnot 17th arr 75017 Paris France,48.874707,2.2936761,Paris,France,48.8534951,2.3483915
10,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,48.8487675,2.3410376,Paris,France,48.8534951,2.3483915
11,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,51.5038632,-0.1504132,London,United Kingdom,51.4893335,-0.144055085
12,1 Impasse Marteau 18th arr 75018 Paris France,48.9015941,2.3597783,Paris,France,48.8534951,2.3483915
13,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,51.5109945,-0.1863417,London,United Kingdom,51.4893335,-0.144055085
14,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,51.5020425,-0.1866541,London,United Kingdom,51.4893335,-0.144055085
15,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,51.5263854,-0.1136042,London,United Kingdom,51.4893335,-0.144055085
16,1 Place De La Sorbonne 5th arr 75005 Paris France,48.8483053,2.3425596,Paris,France,48.8534951,2.3483915
17,1 Place Vend me 1st arr 75001 Paris France,48.8668564,2.3286339,Paris,France,48.8534951,2.3483915
18,1 Rue De Libourne 12th arr 75012 Paris France,48.8315204,2.3870797,Paris,France,48.8534951,2.3483915
19,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,48.8610265,2.3788974,Paris,France,48.8534951,2.3483915
20,1 rue Geoffroy Marie 9th arr 75009 Paris France,48.8732543,2.343239,Paris,France,48.8534951,2.3483915
21,1 Rue Sainte Opportune 1st arr 75001 Paris France,48.8598229,2.347111,Paris,France,48.8534951,2.3483915
22,1 Rue Scribe 9th arr 75009 Paris France,48.8704175,2.3296832,Paris,France,48.8534951,2.3483915
23,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,51.4919588,-0.2200956,London,United Kingdom,51.4893335,-0.144055085
24,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,51.5084595,-0.1311382,London,United Kingdom,51.4893335,-0.144055085
25,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,51.5024348,-0.0002497,London,United Kingdom,51.4893335,-0.144055085
26,10 12 rue Cognacq Jay 7th arr 75007 Paris France,48.8619373,2.3040298,Paris,France,48.8534951,2.3483915
27,10 12 rue de Charonne 11th arr 75011 Paris France,48.8524215,2.3743832,Paris,France,48.8534951,2.3483915
28,10 avenue Carnot 17th arr 75017 Paris France,48.8756435,2.2938788,Paris,France,48.8534951,2.3483915
29,10 Avenue D I na 16th arr 75016 Paris France,48.8637135,2.2934759,Paris,France,48.8534951,2.3483915
30,10 Avenue Emile Zola 15th arr 75015 Paris France,48.8460269,2.2788281,Paris,France,48.8534951,2.3483915
31,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,51.4980052,-0.1643238,London,United Kingdom,51.4893335,-0.144055085
32,10 Berners Street Westminster Borough London W1T 3NP United Kingdom,51.5167472,-0.135965,London,United Kingdom,51.4893335,-0.144055085
33,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,51.4916378,-0.1832833,London,United Kingdom,51.4893335,-0.144055085
34,10 Bis rue du D barcad re 17th arr 75017 Paris France,48.8780363,2.2864907,Paris,France,48.8534951,2.3483915
35,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,51.5147387,-0.1341108,City of Westminster,United Kingdom,51.4973206,-0.137149
36,10 Godliman Street City of London London EC4V 5AJ United Kingdom,51.5127625,-0.0997157,City of London,United Kingdom,51.5156177,-0.0919983
37,10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,51.4943077,-0.1755579,London,United Kingdom,51.4893335,-0.144055085
38,10 Monmouth Street Camden London WC2H 9HB United Kingdom,51.5145986,-0.1270336,London,United Kingdom,51.4893335,-0.144055085
39,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,51.4990259,-0.1427453,London,United Kingdom,51.4893335,-0.144055085
40,10 Pepys Street City of London London EC3N 2NR United Kingdom,51.5106538,-0.0773676,City of London,United Kingdom,51.5156177,-0.0919983
41,10 Place De La R publique 11th arr 75011 Paris France,48.8673199,2.3656296,Paris,France,48.8534951,2.3483915
42,10 Place De Mexico 16th arr 75016 Paris France,48.8656973,2.2829776,Paris,France,48.8534951,2.3483915
